game_id|final_score
1|1284
2|360
3|447
4|1779
5|408
6|616
7|360
8|625
9|872
10|872
11|620
12|578
13|400
14|625
15|533
16|1069
17|573
18|320
19|486
20|491
21|575
22|843
23|762
24|1144
25|1018
26|320
27|753
28|400
29|1097
30|1130
31|667
32|485
33|445
34|947
35|620
36|809
37|320
38|446
39|871
40|611
41|888
42|846
43|360
44|320
45|440
46|1648
47|975
48|653
49|855
50|440
51|613
52|446
53|842
54|445
55|320
56|487
57|1074
58|485
59|1397
60|867
61|793
62|665
63|629
64|887
65|440
66|528
67|360
68|674
69|1467
70|480
71|533
72|672
73|709
74|798
75|816
76|667
77|2558
78|973
79|1125
80|715
81|445
82|889
83|487
84|706
85|578
86|320
87|1104
88|1229
89|492
90|531
91|707
92|665
93|400
94|578
95|480
96|406
97|851
98|440
99|668
100|446
101|440
102|534
103|486
104|400
105|320
106|615
107|1609
108|666
109|488
110|664
111|764
112|1111
113|568
114|945
115|668
116|480
117|628
118|499
119|1021
120|660
121|400
122|492
123|575
124|533
125|665
126|525
127|1158
128|405
129|1075
130|1547
131|631
132|445
133|320
134|1041
135|792
136|360
137|1416
138|533
139|531
140|577
141|678
142|486
143|440
144|487
145|360
146|757
147|1387
148|486
149|445
150|1766
151|440
152|882
153|766
154|486
155|615
156|618
157|809
158|440
159|1236
160|710
161|573
162|538
163|480
164|885
165|658
166|1112
167|400
168|360
169|560
170|831
171|652
172|1308
173|1274
174|999
175|615
176|440
177|1387
178|622
179|935
180|901
181|1293
182|445
183|485
184|654
185|533
186|526
187|923
188|1370
189|488
190|1011
191|956
192|400
193|622
194|320
195|567
196|2111
197|360
198|724
199|832
200|480
201|975
202|616
203|574
204|527
205|745
206|440
207|1598
208|1073
209|540
210|749
211|320
212|721
213|1375
214|1442
215|875
216|451
217|494
218|320
219|532
220|446
221|406
222|360
223|1103
224|872
225|535
226|765
227|541
228|400
229|1050
230|400
231|400
232|1373
233|400
234|488
235|530
236|837
237|679
238|535
239|585
240|1242
241|492
242|360
243|440
244|526
245|448
246|541
247|573
248|721
249|713
250|400
251|579
252|879
253|690
254|900
255|447
256|459
257|1016
258|591
259|1522
260|653
261|400
262|585
263|579
264|486
265|1023
266|537
267|539
268|1499
269|749
270|947
271|360
272|447
273|712
274|448
275|1037
276|446
277|407
278|1909
279|400
280|485
281|926
282|624
283|400
284|581
285|1630
286|573
287|613
288|626
289|360
290|828
291|360
292|588
293|526
294|532
295|360
296|999
297|705
298|448
299|702
300|720
301|686
302|668
303|533
304|577
305|447
306|537
307|617
308|1034
309|592
310|440
311|844
312|760
313|1033
314|400
315|754
316|520
317|668
318|1383
319|798
320|400
321|360
322|487
323|2026
324|756
325|606
326|485
327|440
328|583
329|712
330|620
331|486
332|400
333|1333
334|937
335|858
336|1258
337|805
338|748
339|654
340|446
341|977
342|628
343|1297
344|797
345|985
346|406
347|486
348|440
349|494
350|440
351|400
352|1342
353|580
354|400
355|400
356|360
357|495
358|646
359|407
360|480
361|1553
362|888
363|1201
364|537
365|400
366|786
367|571
368|912
369|829
370|1086
371|360
372|480
373|400
374|746
375|704
376|545
377|1017
378|1051
379|976
380|713
381|654
382|280
383|713
384|725
385|661
386|440
387|767
388|400
389|1420
390|761
391|754
392|1025
393|408
394|717
395|908
396|915
397|979
398|669
399|400
400|663
401|488
402|580
403|1676
404|711
405|673
406|405
407|486
408|488
409|574
410|446
411|1142
412|457
413|615
414|446
415|480
416|655
417|768
418|533
419|488
420|732
421|494
422|446
423|1257
424|839
425|657
426|400
427|405
428|712
429|575
430|971
431|440
432|1204
433|901
434|576
435|539
436|1402
437|782
438|573
439|1341
440|1909
441|360
442|532
443|995
444|709
445|680
446|480
447|667
448|527
449|480
450|528
451|583
452|486
453|679
454|1094
455|746
456|400
457|613
458|527
459|1483
460|666
461|892
462|748
463|360
464|320
465|582
466|672
467|850
468|1237
469|492
470|447
471|581
472|679
473|445
474|574
475|367
476|834
477|733
478|400
479|360
480|575
481|759
482|991
483|881
484|903
485|671
486|485
487|606
488|446
489|400
490|2371
491|360
492|836
493|606
494|447
495|741
496|1272
497|619
498|572
499|449
500|492
501|1527
502|400
503|1155
504|515
505|400
506|981
507|1017
508|360
509|908
510|929
511|480
512|1967
513|750
514|1111
515|1322
516|526
517|662
518|534
519|1069
520|620
521|753
522|539
523|1135
524|745
525|744
526|658
527|1424
528|533
529|406
530|1351
531|400
532|487
533|631
534|400
535|796
536|400
537|952
538|891
539|534
540|400
541|1022
542|1061
543|360
544|805
545|882
546|891
547|400
548|400
549|567
550|1472
551|360
552|1162
553|845
554|528
555|450
556|651
557|360
558|447
559|1193
560|1071
561|587
562|1545
563|769
564|440
565|669
566|320
567|407
568|844
569|672
570|1552
571|1065
572|730
573|579
574|493
575|829
576|659
577|663
578|761
579|400
580|803
581|1269
582|842
583|1989
584|747
585|360
586|673
587|360
588|816
589|660
590|541
591|1272
592|446
593|360
594|360
595|446
596|1250
597|488
598|486
599|1314
600|714
601|695
602|698
603|448
604|659
605|714
606|360
607|3216
608|661
609|493
610|400
611|1021
612|446
613|1021
614|760
615|620
616|810
617|1164
618|751
619|360
620|1308
621|480
622|400
623|580
624|527
625|440
626|405
627|709
628|1033
629|636
630|526
631|1111
632|446
633|574
634|1531
635|1003
636|984
637|520
638|1144
639|440
640|896
641|572
642|611
643|492
644|623
645|573
646|400
647|533
648|1036
649|360
650|716
651|1256
652|772
653|625
654|621
655|669
656|400
657|360
658|849
659|360
660|501
661|1154
662|861
663|845
664|493
665|451
666|738
667|982
668|583
669|2354
670|1020
671|488
672|714
673|566
674|533
675|1160
676|400
677|487
678|1410
679|539
680|446
681|785
682|617
683|541
684|1179
685|446
686|406
687|669
688|480
689|1060
690|400
691|1607
692|572
693|947
694|440
695|963
696|673
697|997
698|880
699|572
700|664
701|1250
702|674
703|664
704|405
705|400
706|1197
707|1565
708|920
709|691
710|667
711|1481
712|895
713|447
714|754
715|488
716|1095
717|603
718|493
719|658
720|755
721|1762
722|807
723|400
724|620
725|400
726|883
727|535
728|492
729|761
730|583
731|881
732|919
733|622
734|488
735|1301
736|400
737|440
738|440
739|758
740|710
741|360
742|1521
743|664
744|1382
745|904
746|480
747|1055
748|659
749|440
750|533
751|360
752|400
753|487
754|619
755|1107
756|1444
757|520
758|718
759|1193
760|715
761|740
762|400
763|746
764|856
765|715
766|486
767|925
768|839
769|657
770|708
771|544
772|360
773|659
774|1210
775|360
776|400
777|740
778|542
779|400
780|706
781|1378
782|681
783|320
784|400
785|870
786|1819
787|1207
788|1640
789|753
790|573
791|801
792|533
793|1037
794|663
795|626
796|666
797|672
798|661
799|487
800|787
801|638
802|486
803|1608
804|618
805|1241
806|798
807|360
808|532
809|447
810|1444
811|940
812|445
813|804
814|1302
815|845
816|502
817|730
818|845
819|899
820|573
821|1333
822|400
823|400
824|527
825|1120
826|1433
827|931
828|1281
829|963
830|446
831|527
832|400
833|360
834|1186
835|666
836|2078
837|360
838|1193
839|360
840|440
841|817
842|589
843|902
844|320
845|447
846|1578
847|649
848|2128
849|575
850|752
851|573
852|975
853|440
854|534
855|440
856|726
857|867
858|538
859|906
860|1016
861|400
862|1099
863|704
864|713
865|894
866|585
867|1217
868|718
869|407
870|891
871|606
872|536
873|897
874|365
875|587
876|2077
877|573
878|794
879|488
880|573
881|545
882|1473
883|440
884|1098
885|1216
886|400
887|440
888|619
889|487
890|445
891|798
892|440
893|763
894|577
895|946
896|932
897|662
898|707
899|1578
900|675
901|631
902|841
903|567
904|823
905|851
906|400
907|622
908|1448
909|582
910|446
911|753
912|320
913|612
914|700
915|1388
916|485
917|768
918|802
919|520
920|527
921|789
922|579
923|454
924|970
925|626
926|796
927|612
928|638
929|931
930|520
931|360
932|533
933|487
934|360
935|532
936|400
937|797
938|925
939|589
940|575
941|320
942|491
943|406
944|400
945|487
946|531
947|406
948|1303
949|894
950|710
951|770
952|821
953|717
954|1083
955|446
956|614
957|1034
958|360
959|525
960|575
961|806
962|1188
963|448
964|767
965|762
966|440
967|1021
968|446
969|360
970|531
971|1330
972|527
973|485
974|1671
975|454
976|845
977|488
978|440
979|480
980|709
981|1202
982|486
983|445
984|1116
985|360
986|1165
987|850
988|848
989|668
990|544
991|994
992|629
993|494
994|400
995|644
996|1199
997|623
998|447
999|446
1000|489
1001|660
1002|707
1003|659
1004|400
1005|627
1006|360
1007|486
1008|405
1009|722
1010|447
1011|533
1012|573
1013|750
1014|526
1015|527
1016|761
1017|360
1018|400
1019|882
1020|921
1021|1547
1022|750
1023|560
1024|400
1025|400
1026|837
1027|533
1028|2244
1029|535
1030|1162
1031|574
1032|621
1033|843
1034|725
1035|1013
1036|535
1037|445
1038|445
1039|1261
1040|792
1041|539
1042|440
1043|999
1044|1358
1045|619
1046|487
1047|1038
1048|365
1049|446
1050|721
1051|440
1052|1147
1053|983
1054|1198
1055|716
1056|661
1057|360
1058|400
1059|936
1060|662
1061|572
1062|487
1063|400
1064|2175
1065|440
1066|360
1067|719
1068|449
1069|992
1070|1911
1071|891
1072|528
1073|365
1074|400
1075|821
1076|806
1077|972
1078|400
1079|795
1080|440
1081|2024
1082|618
1083|589
1084|1638
1085|1073
1086|607
1087|660
1088|537
1089|400
1090|654
1091|672
1092|887
1093|360
1094|748
1095|486
1096|1192
1097|487
1098|520
1099|1020
1100|493
1101|707
1102|400
1103|440
1104|572
1105|574
1106|2305
1107|400
1108|976
1109|360
1110|446
1111|535
1112|400
1113|493
1114|360
1115|586
1116|1464
1117|527
1118|626
1119|586
1120|487
1121|445
1122|360
1123|614
1124|1356
1125|708
1126|796
1127|724
1128|491
1129|761
1130|1031
1131|493
1132|526
1133|964
1134|573
1135|757
1136|531
1137|1075
1138|923
1139|1750
1140|1158
1141|448
1142|973
1143|1024
1144|446
1145|1130
1146|1294
1147|859
1148|847
1149|1071
1150|2029
1151|840
1152|663
1153|672
1154|526
1155|703
1156|984
1157|744
1158|624
1159|541
1160|447
1161|489
1162|531
1163|619
1164|1677
1165|620
1166|446
1167|400
1168|649
1169|1244
1170|1523
1171|971
1172|480
1173|958
1174|1737
1175|440
1176|400
1177|440
1178|889
1179|755
1180|810
1181|544
1182|608
1183|917
1184|775
1185|360
1186|447
1187|440
1188|937
1189|577
1190|979
1191|622
1192|446
1193|802
1194|625
1195|360
1196|715
1197|446
1198|440
1199|1098
1200|534
1201|620
1202|447
1203|440
1204|1601
1205|490
1206|891
1207|614
1208|533
1209|745
1210|450
1211|320
1212|440
1213|400
1214|400
1215|486
1216|2233
1217|1679
1218|762
1219|527
